																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	24/04/2021	mix		01/05/2021	mix		01/06/2021	pull		01/07/2021	core		01/08/2021	pull		19/09/2021	pull		01/10/2021	pull		01/10/2021	pull		01/12/2021	push		01/01/2022	missed		01/02/2022	dead pull		01/03/2022	leg		01/04/2022	barbell pull		01/05/2022	core + forearm		01/06/2022	cardio		01/07/2022	leg		01/08/2022	dead pull		01/09/2022	arm push
	shoulder press	10x40 + 12x35 + 10x35 + 4x35		low row	10x60 x6		low row	6x85 + 6x90 x4		low row	6x92.5 x4		preacher curl	12x25		low row	6x92.5 x4		low row	12x75 x4		preacher curl	12x30 x4		bench press	5x80 + 2x80 x2					deadlift	5x70 + 5x80 x4		leg press	12x220 x2 + 8x260 x2 + 6x300		barbell row	12x60 + 12x65 x2		sit up	20x28 x3					squat	6x80 + 6x90 + 6x100 x2		deadlift	6x100 + 4x110		bench press	11x70 + 3x80 + 1x95 + 4x80
	chest press	10x35 x3 + 8x35 + 10x25 + 10x25		cable curl	10x17.5 x5		close grip pull down	6x70 + 6x75 + 5x75 + 6x70		sit up	35x8		chin up	13		preacher curl	12x20 + 12x25 x3		preacher curl	12x25 x4		low row	12x70 x4		skull crusher	12x30					low row	16x60 x4		calf raise	14x170 x2 + 16x150 x3		preacher curl	12x35 x3		russian twist	20x10 x3					leg press	12x220 + 12x260 x2 + 8x300		preacher curl	20x30 + 8x40 x2 + 14x35		pectoral	18x20 + 14x25 + 12x25 x2
	lateral raise	10x4 x8		lateral raise	10x5 x3		cable curl	6x25 x4		russian twist	50x8		hanging leg raise	20		cable curl	6x25 x4		cable curl	12x20 x3		cable curl	12x22.5 x4								chin up	12 x4					pull up	10x10 + 12x10 x2		forearm	20x16 x2 + 20x14					leg extension	12x60 x3		low row	16x80 x3		chest fly	16x10 + 12x12
	shrug	10x10 x6		deadlift	3x60 + 1x80 + 1x90 + 1x102.5		preacher curl	6x30 x4					chest press	12x58.5 + 6x85.5 + 6x72.5		hanging leg raise	20 x2		calf raise	12 x8		chin up	12 x4														low row	16x70 + 16x80		hanging leg raise	20 x3					leg curl	16x50 + 12x60 x2		pull up	10x10 + 16 + 10			
	cable push down	10x20 x3 + 10x15 x4		leg press	10x90 x5		russian twist	30x8		02/07/2021	push		low row	12x45					shrug	20x18 x4		abductor	16x80 x4														reverse fly	12x15		abdominal crunch	20x40 + 14x45 + 12x45					calf raise	20x180 x2 + 16x180						
	adductor	10x30 + 12x35 + 16x40 + 16x45 x3		preacher curl	10x20 + 10x30 + 10x20 x3		sit up	30x8		chest press	6x85 x4					20/09/2021	push					adductor	16x80 x4																							adductor	20x35						
	leg extension	10x50 x5 + 10x45		russian twist	50x6					skull crusher	6x30 + 6x35 x3		02/08/2021	mix		bench press	7x40 + 5x50 + 5x60 + 2x65 + 5x60		02/10/2021	mix		bicep curl	12x10 x4																														
	abductor	10x50 + 10x60 x3 + 10x55 x3		sit up	30x6		02/06/2021	push		rope push down	6x32.5 x4		preacher curl	6x40 x2 + 4x40		chest press	12x75 x2 + 7x75		skull crusher	12x30 x4		lateral raise	12x8 x4																														
	leg press	10x70 + 10x80 + 10x90 x5		close grip pull down	10x40 x3		russian twist	35x8		russian twist	45x8		hanging leg raise	20 x5		skull crusher	12x20 x4		bench press	5x40 + 5x60 x4					02/12/2021	pull		02/01/2022	pull		02/02/2022	other		02/03/2022	arm push		02/04/2022	core + forearm		02/05/2022	leg		02/06/2022	cardio		02/07/2022	shoulder push		02/08/2022	cardio		02/09/2022	leg
